Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IRCTC,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
EMGF,0,0,0.00,0,0.00,0.00,0,0
EMHY,0,0,0.00,0,0.00,0.00,0,0
EMTL,0,0,0.00,0,0.00,0.00,0,0
ENOR,0,0,0.00,0,0.00,0.00,0,0
EOPS,0,0,0.00,0,0.00,0.00,0,0
EPRF,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
ESEB,0,0,0.00,0,0.00,0.00,0,0
ESG,0,0,0.00,0,0.00,0.00,0,0
ESGG,0,0,0.00,0,0.00,0.00,0,0
ESGV,0,0,0.00,0,0.00,0.00,0,0
ESHY,0,0,0.00,0,0.00,0.00,0,0
ESML,0,0,0.00,0,0.00,0.00,0,0
EUDV,0,0,0.00,0,0.00,0.00,0,0
EWGS,0,0,0.00,0,0.00,0.00,0,0
EWUS,0,0,0.00,0,0.00,0.00,0,0
EYLD,0,0,0.00,0,0.00,0.00,0,0
EZU,0,0,0.00,0,0.00,0.00,0,0
FAIL,0,0,0.00,0,0.00,0.00,0,0
FAPR,0,0,0.00,0,0.00,0.00,0,0
FAUG,0,0,0.00,0,0.00,0.00,0,0
FBCG,0,0,0.00,0,0.00,0.00,0,0
FBCV,0,0,0.00,0,0.00,0.00,0,0
FCLD,0,0,0.00,0,0.00,0.00,0,0
FCPI,0,0,0.00,0,0.00,0.00,0,0
FCTR,0,0,0.00,0,0.00,0.00,0,0
FDEC,0,0,0.00,0,0.00,0.00,0,0
FDEM,0,0,0.00,0,0.00,0.00,0,0
FDEV,0,0,0.00,0,0.00,0.00,0,0
FDG,0,0,0.00,0,0.00,0.00,0,0
FDHT,0,0,0.00,0,0.00,0.00,0,0
FDRV,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FEDX,0,0,0.00,0,0.00,0.00,0,0
FFEB,0,0,0.00,0,0.00,0.00,0,0
FFHG,0,0,0.00,0,0.00,0.00,0,0
FFSG,0,0,0.00,0,0.00,0.00,0,0
FFTG,0,0,0.00,0,0.00,0.00,0,0
FFTI,0,0,0.00,0,0.00,0.00,0,0
FGRO,0,0,0.00,0,0.00,0.00,0,0
FIBR,0,0,0.00,0,0.00,0.00,0,0
FJAN,0,0,0.00,0,0.00,0.00,0,0
FJUL,0,0,0.00,0,0.00,0.00,0,0
FJUN,0,0,0.00,0,0.00,0.00,0,0
FLBL,0,0,0.00,0,0.00,0.00,0,0
FLDR,0,0,0.00,0,0.00,0.00,0,0
FLHY,0,0,0.00,0,0.00,0.00,0,0
FLIA,0,0,0.00,0,0.00,0.00,0,0
FLOT,0,0,0.00,0,0.00,0.00,0,0
FLQL,0,0,0.00,0,0.00,0.00,0,0
FLQM,0,0,0.00,0,0.00,0.00,0,0
FLQS,0,0,0.00,0,0.00,0.00,0,0
FLTN,0,0,0.00,0,0.00,0.00,0,0
FLV,0,0,0.00,0,0.00,0.00,0,0
FMAG,0,0,0.00,0,0.00,0.00,0,0
FMAR,0,0,0.00,0,0.00,0.00,0,0
FMAY,0,0,0.00,0,0.00,0.00,0,0
FMIL,0,0,0.00,0,0.00,0.00,0,0
FNOV,0,0,0.00,0,0.00,0.00,0,0
FOCT,0,0,0.00,0,0.00,0.00,0,0
FOMO,0,0,0.00,0,0.00,0.00,0,0
FPAG,0,0,0.00,0,0.00,0.00,0,0
FPFD,0,0,0.00,0,0.00,0.00,0,0
FPRO,0,0,0.00,0,0.00,0.00,0,0
FRDM,0,0,0.00,0,0.00,0.00,0,0
FRNW,0,0,0.00,0,0.00,0.00,0,0
FSEP,0,0,0.00,0,0.00,0.00,0,0
FSMO,0,0,0.00,0,0.00,0.00,0,0
FUNL,0,0,0.00,0,0.00,0.00,0,0
FYLD,0,0,0.00,0,0.00,0.00,0,0
GAA,0,0,0.00,0,0.00,0.00,0,0
GCLN,0,0,0.00,0,0.00,0.00,0,0
GCOW,0,0,0.00,0,0.00,0.00,0,0
GDE,0,0,0.00,0,0.00,0.00,0,0
GDMN,0,0,0.00,0,0.00,0.00,0,0
GEMD,0,0,0.00,0,0.00,0.00,0,0
GHTA,0,0,0.00,0,0.00,0.00,0,0
GHYG,0,0,0.00,0,0.00,0.00,0,0
GLDB,0,0,0.00,0,0.00,0.00,0,0
GLOV,0,0,0.00,0,0.00,0.00,0,0
GMOM,0,0,0.00,0,0.00,0.00,0,0
GOVZ,0,0,0.00,0,0.00,0.00,0,0
GPAL,0,0,0.00,0,0.00,0.00,0,0
GSEE,0,0,0.00,0,0.00,0.00,0,0
GSEW,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
GSST,0,0,0.00,0,0.00,0.00,0,0
GSUS,0,0,0.00,0,0.00,0.00,0,0
GTIP,0,0,0.00,0,0.00,0.00,0,0
GVAL,0,0,0.00,0,0.00,0.00,0,0
GVI,0,0,0.00,0,0.00,0.00,0,0
HAUS,0,0,0.00,0,0.00,0.00,0,0
HCRB,0,0,0.00,0,0.00,0.00,0,0
HEEM,0,0,0.00,0,0.00,0.00,0,0
HEET,0,0,0.00,0,0.00,0.00,0,0
HEFA,0,0,0.00,0,0.00,0.00,0,0
HEGD,0,0,0.00,0,0.00,0.00,0,0
HELX,0,0,0.00,0,0.00,0.00,0,0
HFGO,0,0,0.00,0,0.00,0.00,0,0
HSRT,0,0,0.00,0,0.00,0.00,0,0
HSUN,0,0,0.00,0,0.00,0.00,0,0
HYBL,0,0,0.00,0,0.00,0.00,0,0
HYD,0,0,0.00,0,0.00,0.00,0,0
HYDB,0,0,0.00,0,0.00,0.00,0,0
HYGW,0,0,0.00,0,0.00,0.00,0,0
HYHG,0,0,0.00,0,0.00,0.00,0,0
HYIN,0,0,0.00,0,0.00,0.00,0,0
HYMU,0,0,0.00,0,0.00,0.00,0,0
HYXU,0,0,0.00,0,0.00,0.00,0,0
IAGG,0,0,0.00,0,0.00,0.00,0,0
IAUF,0,0,0.00,0,0.00,0.00,0,0
IBHB,0,0,0.00,0,0.00,0.00,0,0
IBHC,0,0,0.00,0,0.00,0.00,0,0
IBHD,0,0,0.00,0,0.00,0.00,0,0
IBHE,0,0,0.00,0,0.00,0.00,0,0
IBHF,0,0,0.00,0,0.00,0.00,0,0
IBHG,0,0,0.00,0,0.00,0.00,0,0
IBHH,0,0,0.00,0,0.00,0.00,0,0
IBHI,0,0,0.00,0,0.00,0.00,0,0
IBML,0,0,0.00,0,0.00,0.00,0,0
IBMM,0,0,0.00,0,0.00,0.00,0,0
IBMN,0,0,0.00,0,0.00,0.00,0,0
IBMO,0,0,0.00,0,0.00,0.00,0,0
IBMP,0,0,0.00,0,0.00,0.00,0,0
IBMQ,0,0,0.00,0,0.00,0.00,0,0
ICF,0,0,0.00,0,0.00,0.00,0,0
ICOW,0,0,0.00,0,0.00,0.00,0,0
ICSH,0,0,0.00,0,0.00,0.00,0,0
ICVT,0,0,0.00,0,0.00,0.00,0,0
IDHD,0,0,0.00,0,0.00,0.00,0,0
IDME,0,0,0.00,0,0.00,0.00,0,0
IDV,0,0,0.00,0,0.00,0.00,0,0
IECS,0,0,0.00,0,0.00,0.00,0,0
IEDI,0,0,0.00,0,0.00,0.00,0,0
IEFA,0,0,0.00,0,0.00,0.00,0,0
IEFN,0,0,0.00,0,0.00,0.00,0,0
IEHS,0,0,0.00,0,0.00,0.00,0,0
IEIH,0,0,0.00,0,0.00,0.00,0,0
IEME,0,0,0.00,0,0.00,0.00,0,0
IEO,0,0,0.00,0,0.00,0.00,0,0
IETC,0,0,0.00,0,0.00,0.00,0,0
IFRA,0,0,0.00,0,0.00,0.00,0,0
IGE,0,0,0.00,0,0.00,0.00,0,0
IGEB,0,0,0.00,0,0.00,0.00,0,0
IGHG,0,0,0.00,0,0.00,0.00,0,0
IGLD,0,0,0.00,0,0.00,0.00,0,0
IGRO,0,0,0.00,0,0.00,0.00,0,0
IGV,0,0,0.00,0,0.00,0.00,0,0
IMFL,0,0,0.00,0,0.00,0.00,0,0
IMLP,0,0,0.00,0,0.00,0.00,0,0
IMOM,0,0,0.00,0,0.00,0.00,0,0
INDA,0,0,0.00,0,0.00,0.00,0,0
IPDP,0,0,0.00,0,0.00,0.00,0,0
IPPP,0,0,0.00,0,0.00,0.00,0,0
IQDG,0,0,0.00,0,0.00,0.00,0,0
